gene	logfc	fdr
comp10067_c0_seq1_m.4542	-0.208729396	0.876510765
comp10069_c0_seq1_m.20892	0.32017369	0.824008497
comp10070_c0_seq1_m.38542	0.003297855	0.998722079
comp10070_c0_seq2_m.38543	0.012849798	0.993716066
comp10071_c0_seq1_m.19809	0.096225682	0.930157939
comp10071_c0_seq1_m.19810	0.315801508	0.887309487
comp10072_c0_seq1_m.4543	0.055659359	0.98203026
comp10073_c0_seq1_m.17643	0.498516876	0.416070497
comp10074_c0_seq1_m.31089	-0.449050025	0.562571294
comp10074_c1_seq1_m.31090	-0.4837745	0.541969129
comp100752_c0_seq1_m.12854	2.62919719	2.84E-06
comp100754_c0_seq1_m.12855	-0.037883643	0.992054361
comp100754_c0_seq1_m.12856	-0.137164078	0.980477634
comp10077_c0_seq1_m.20627	0.877699766	0.000131573
comp10077_c0_seq2_m.20628	1.339134156	0.155349538
comp10078_c0_seq1_m.4544	-0.197897509	0.398144334
comp10079_c0_seq1_m.4545	-0.350257401	0.484831449
comp1008_c0_seq1_m.272	-1.65189817	0.003123717
comp10080_c0_seq1_m.4547	-0.113334214	0.925848424
comp10083_c0_seq1_m.4548	-0.126854908	0.860532449
comp10084_c0_seq1_m.4549	10.51348388	4.16E-50
comp10085_c0_seq1_m.19678	0.148212013	0.858474732
comp100855_c0_seq1_m.12857	-0.297720844	0.652433229
comp10086_c1_seq1_m.37610	0.081280803	0.95152168
comp10086_c1_seq1_m.37611	0.242834937	0.769328335
comp10087_c0_seq1_m.4550	-0.118360425	0.911503742
comp10088_c0_seq1_m.25597	-0.054687677	0.98084376
comp10088_c0_seq1_m.25599	-0.057072824	0.986042042
comp10088_c0_seq2_m.25600	-0.028544797	0.992054361
comp10088_c0_seq2_m.25601	-0.057072985	0.986042042
comp10089_c0_seq1_m.4551	0.100235177	0.943216978
comp10089_c0_seq1_m.4552	1.113091558	0.908603413
comp10090_c0_seq1_m.32585	-0.08078625	0.962053476
comp10090_c0_seq2_m.32586	-0.080787615	0.962053476
comp10090_c1_seq1_m.32587	-0.054341615	0.981033221
comp10091_c0_seq1_m.4553	-0.147725793	0.960766287
comp10092_c0_seq1_m.34118	-0.149799459	0.765355388
comp10093_c0_seq1_m.4555	-0.009440786	0.993716066
comp10094_c0_seq1_m.4556	3.02691739	4.03E-06
comp10096_c0_seq1_m.4558	0.039613903	0.984629355
comp10097_c0_seq1_m.39275	-0.086432743	0.94508224
comp10098_c0_seq1_m.20648	-0.015377338	0.993716066
comp101_c0_seq1_m.21	-0.363984997	0.726012556
comp10100_c0_seq1_m.4560	0.105049063	0.956647308
comp10101_c0_seq1_m.4561	-0.059118398	0.939879736
comp10102_c0_seq1_m.17938	-0.087928377	0.964844629
comp10102_c0_seq1_m.17939	-0.117247816	0.969282032
comp10102_c0_seq2_m.17940	-0.005637449	0.993870418
comp10103_c0_seq1_m.4562	0.011193555	0.993716066
comp10104_c0_seq2_m.19799	3.02234729	4.97E-07
comp10104_c0_seq3_m.19800	2.240781908	2.68E-11
comp10105_c0_seq1_m.4563	-0.006017594	0.993716066
comp10105_c0_seq1_m.4564	0.454984702	0.680416729
comp10106_c0_seq2_m.34944	-0.158189467	0.662123274
comp10107_c0_seq1_m.4565	-0.294256329	0.821582009
comp10108_c0_seq1_m.4566	-0.760738224	0.063075142
comp1011_c0_seq1_m.273	-0.219530734	0.776203943
comp10110_c0_seq1_m.16115	-0.119686237	0.97402442
comp10110_c0_seq2_m.16116	-0.088507224	0.920555972
comp10111_c0_seq1_m.23410	-0.556698738	0.148968578
comp10111_c0_seq2_m.23411	-0.761902994	0.313748913
comp10112_c0_seq1_m.4567	4.701825127	1.10E-10
comp10113_c0_seq1_m.4568	0.805819603	0.246877737
comp10114_c0_seq1_m.23841	-0.091881778	0.918043777
comp10114_c0_seq2_m.23842	0.130183069	0.977728915
comp10115_c0_seq1_m.4569	-0.047820086	0.952776427
comp10115_c0_seq1_m.4570	0.569768092	0.724066403
comp10116_c0_seq1_m.4571	0.024799549	0.987024644
