an_ric	gene
Mannua_Ricinus.2247.nuc comp13704_c0_seq1_m.7062
Mannua_Ricinus.2248.nuc comp13706_c0_seq1_m.7064
Mannua_Ricinus.2249.nuc comp13708_c0_seq1_m.7065
Mannua_Ricinus.225.nuc comp10432_c0_seq1_m.4769
Mannua_Ricinus.2250.nuc comp13710_c0_seq1_m.32106
Mannua_Ricinus.2251.nuc comp13710_c0_seq3_m.32109
Mannua_Ricinus.2252.nuc comp13711_c0_seq1_m.7067
Mannua_Ricinus.2253.nuc comp13713_c0_seq1_m.30112
Mannua_Ricinus.2254.nuc comp13715_c0_seq1_m.36585
Mannua_Ricinus.2255.nuc comp13716_c0_seq1_m.7069
Mannua_Ricinus.2256.nuc comp13717_c0_seq1_m.26521
Mannua_Ricinus.2257.nuc comp13718_c0_seq1_m.31683
Mannua_Ricinus.2258.nuc comp13719_c0_seq1_m.7070
Mannua_Ricinus.2259.nuc comp13720_c0_seq1_m.7071
Mannua_Ricinus.226.nuc comp104346_c0_seq1_m.12998
Mannua_Ricinus.2260.nuc comp13721_c0_seq1_m.7074
Mannua_Ricinus.2261.nuc comp13722_c0_seq1_m.7079
Mannua_Ricinus.2262.nuc comp13724_c0_seq1_m.15360
Mannua_Ricinus.2263.nuc comp13725_c0_seq1_m.7080
Mannua_Ricinus.2264.nuc comp13726_c0_seq1_m.7081
Mannua_Ricinus.2265.nuc comp13729_c0_seq1_m.29115
Mannua_Ricinus.2266.nuc comp13730_c0_seq1_m.7084
Mannua_Ricinus.2267.nuc comp13731_c0_seq1_m.39092
Mannua_Ricinus.2268.nuc comp13732_c1_seq1_m.25160
Mannua_Ricinus.2269.nuc comp13732_c1_seq1_m.25162
Mannua_Ricinus.227.nuc comp10435_c0_seq1_m.4772
Mannua_Ricinus.2270.nuc comp13734_c0_seq1_m.7088
Mannua_Ricinus.2271.nuc comp13736_c0_seq1_m.7089
Mannua_Ricinus.2272.nuc comp13737_c0_seq1_m.7090
Mannua_Ricinus.2273.nuc comp13742_c0_seq1_m.7092
Mannua_Ricinus.2274.nuc comp13743_c0_seq1_m.7093
Mannua_Ricinus.2275.nuc comp13744_c0_seq1_m.36846
Mannua_Ricinus.2276.nuc comp13745_c0_seq1_m.7094
Mannua_Ricinus.2277.nuc comp13746_c0_seq1_m.20198
Mannua_Ricinus.2278.nuc comp13747_c0_seq1_m.7095
Mannua_Ricinus.2279.nuc comp13750_c0_seq1_m.7096
Mannua_Ricinus.228.nuc comp10438_c0_seq1_m.4775
Mannua_Ricinus.2280.nuc comp13751_c0_seq1_m.7099
Mannua_Ricinus.2281.nuc comp13752_c0_seq1_m.7100
Mannua_Ricinus.2282.nuc comp13753_c0_seq1_m.7101
Mannua_Ricinus.2283.nuc comp13754_c0_seq1_m.38223
Mannua_Ricinus.2284.nuc comp13755_c0_seq1_m.25052
Mannua_Ricinus.2285.nuc comp13756_c0_seq1_m.23048
Mannua_Ricinus.2286.nuc comp13757_c1_seq1_m.7102
Mannua_Ricinus.2287.nuc comp13759_c0_seq1_m.7103
Mannua_Ricinus.2288.nuc comp13760_c0_seq1_m.7104
Mannua_Ricinus.2289.nuc comp13761_c1_seq1_m.35129
Mannua_Ricinus.229.nuc comp104408_c0_seq1_m.12999
Mannua_Ricinus.2290.nuc comp13762_c0_seq1_m.28428
Mannua_Ricinus.2291.nuc comp13764_c0_seq1_m.34548
Mannua_Ricinus.2292.nuc comp13765_c0_seq2_m.33872
Mannua_Ricinus.2293.nuc comp13769_c0_seq1_m.7108
Mannua_Ricinus.2294.nuc comp13770_c0_seq1_m.7109
Mannua_Ricinus.2295.nuc comp13771_c0_seq1_m.7110
Mannua_Ricinus.2296.nuc comp13772_c0_seq1_m.27698
Mannua_Ricinus.2297.nuc comp13775_c1_seq1_m.25633
Mannua_Ricinus.2298.nuc comp13776_c0_seq1_m.32238
Mannua_Ricinus.2299.nuc comp13779_c0_seq1_m.7113
Mannua_Ricinus.23.nuc comp10045_c0_seq1_m.4524
Mannua_Ricinus.230.nuc comp10445_c0_seq1_m.4781
Mannua_Ricinus.2300.nuc comp13780_c0_seq1_m.29141
Mannua_Ricinus.2301.nuc comp13781_c0_seq1_m.7115
Mannua_Ricinus.2302.nuc comp13783_c0_seq2_m.20298
Mannua_Ricinus.2303.nuc comp13784_c0_seq1_m.25860
Mannua_Ricinus.2304.nuc comp13786_c0_seq2_m.35735
Mannua_Ricinus.2305.nuc comp13788_c0_seq1_m.7120
Mannua_Ricinus.2306.nuc comp13789_c0_seq1_m.7121
Mannua_Ricinus.2307.nuc comp13790_c0_seq1_m.7122
Mannua_Ricinus.2308.nuc comp13791_c0_seq1_m.7124
Mannua_Ricinus.2309.nuc comp13792_c0_seq1_m.19598
Mannua_Ricinus.231.nuc comp10448_c0_seq1_m.4783
Mannua_Ricinus.2310.nuc comp13793_c0_seq1_m.7125
Mannua_Ricinus.2311.nuc comp13794_c0_seq1_m.7126
Mannua_Ricinus.2312.nuc comp13795_c0_seq1_m.27798
Mannua_Ricinus.2313.nuc comp13795_c0_seq5_m.27801
Mannua_Ricinus.2314.nuc comp13796_c0_seq1_m.30869
Mannua_Ricinus.2315.nuc comp13797_c1_seq1_m.18263
Mannua_Ricinus.2316.nuc comp13799_c0_seq2_m.18465
Mannua_Ricinus.2317.nuc comp13800_c0_seq1_m.36783
Mannua_Ricinus.2318.nuc comp13801_c0_seq1_m.25887
Mannua_Ricinus.2319.nuc comp13802_c0_seq1_m.7127
Mannua_Ricinus.232.nuc comp10449_c0_seq1_m.4784
Mannua_Ricinus.2320.nuc comp13805_c0_seq1_m.7132
Mannua_Ricinus.2321.nuc comp13806_c0_seq1_m.7133
Mannua_Ricinus.2322.nuc comp13807_c0_seq1_m.17822
Mannua_Ricinus.2323.nuc comp13810_c0_seq3_m.16096
Mannua_Ricinus.2324.nuc comp13811_c0_seq1_m.25973
Mannua_Ricinus.2325.nuc comp13814_c0_seq2_m.29648
Mannua_Ricinus.2326.nuc comp13816_c0_seq1_m.7136
Mannua_Ricinus.2327.nuc comp13817_c0_seq1_m.7138
Mannua_Ricinus.2328.nuc comp13818_c0_seq1_m.34148
Mannua_Ricinus.2329.nuc comp13819_c0_seq1_m.23801
Mannua_Ricinus.233.nuc comp10450_c0_seq2_m.27892
Mannua_Ricinus.2330.nuc comp13821_c0_seq1_m.34180
Mannua_Ricinus.2331.nuc comp13821_c0_seq2_m.34181
Mannua_Ricinus.2332.nuc comp13822_c0_seq2_m.18597
Mannua_Ricinus.2333.nuc comp13825_c0_seq1_m.7142
Mannua_Ricinus.2334.nuc comp13826_c0_seq1_m.36103
Mannua_Ricinus.2335.nuc comp13828_c0_seq1_m.36500
Mannua_Ricinus.2336.nuc comp13831_c0_seq18_m.34102
Mannua_Ricinus.2337.nuc comp13832_c0_seq1_m.7146
Mannua_Ricinus.2338.nuc comp13833_c0_seq1_m.7147
Mannua_Ricinus.2339.nuc comp13834_c1_seq2_m.31595
Mannua_Ricinus.234.nuc comp10452_c0_seq1_m.4786
Mannua_Ricinus.2340.nuc comp13837_c0_seq1_m.34613
Mannua_Ricinus.2341.nuc comp13838_c0_seq1_m.7148
Mannua_Ricinus.2342.nuc comp13839_c0_seq1_m.15419
Mannua_Ricinus.2343.nuc comp13840_c0_seq1_m.7150
Mannua_Ricinus.2344.nuc comp13841_c0_seq2_m.35514
Mannua_Ricinus.2345.nuc comp13843_c0_seq1_m.7151
Mannua_Ricinus.2346.nuc comp13845_c0_seq1_m.21741
Mannua_Ricinus.2347.nuc comp13849_c0_seq5_m.25291
Mannua_Ricinus.2348.nuc comp13850_c0_seq1_m.7155
Mannua_Ricinus.2349.nuc comp13851_c0_seq1_m.7157
Mannua_Ricinus.235.nuc comp10454_c0_seq1_m.22597
Mannua_Ricinus.2350.nuc comp13852_c0_seq1_m.7158
Mannua_Ricinus.2351.nuc comp13854_c0_seq1_m.28281
Mannua_Ricinus.2352.nuc comp13856_c0_seq1_m.37555
Mannua_Ricinus.2353.nuc comp13857_c0_seq1_m.7163
Mannua_Ricinus.2354.nuc comp13859_c0_seq1_m.7164
Mannua_Ricinus.2355.nuc comp13860_c0_seq1_m.7165
Mannua_Ricinus.2356.nuc comp13861_c0_seq1_m.34154
Mannua_Ricinus.2357.nuc comp13862_c0_seq1_m.7166
Mannua_Ricinus.2358.nuc comp13863_c0_seq1_m.7168
Mannua_Ricinus.2359.nuc comp13865_c0_seq1_m.7170
Mannua_Ricinus.236.nuc comp10456_c0_seq1_m.16718
Mannua_Ricinus.2360.nuc comp13868_c0_seq1_m.24360
Mannua_Ricinus.2361.nuc comp13870_c0_seq1_m.7171
Mannua_Ricinus.2362.nuc comp13872_c0_seq1_m.7174
Mannua_Ricinus.2363.nuc comp13875_c0_seq1_m.7175
Mannua_Ricinus.2364.nuc comp13878_c0_seq1_m.7177
Mannua_Ricinus.2365.nuc comp13879_c0_seq1_m.19475
Mannua_Ricinus.2366.nuc comp13880_c0_seq1_m.7179
Mannua_Ricinus.2367.nuc comp13881_c0_seq1_m.7181
Mannua_Ricinus.2368.nuc comp13882_c0_seq1_m.7182
Mannua_Ricinus.2369.nuc comp13884_c0_seq1_m.7186
Mannua_Ricinus.237.nuc comp10457_c0_seq1_m.4789
Mannua_Ricinus.2370.nuc comp13885_c0_seq1_m.38124
Mannua_Ricinus.2371.nuc comp13886_c0_seq1_m.18054
Mannua_Ricinus.2372.nuc comp13887_c0_seq1_m.25796
Mannua_Ricinus.2373.nuc comp13888_c0_seq1_m.7188
Mannua_Ricinus.2374.nuc comp13889_c0_seq1_m.7189
Mannua_Ricinus.2375.nuc comp13891_c0_seq1_m.33182
Mannua_Ricinus.2376.nuc comp13892_c0_seq1_m.31966
Mannua_Ricinus.2377.nuc comp13893_c0_seq2_m.21339
Mannua_Ricinus.2378.nuc comp13896_c0_seq1_m.32960
Mannua_Ricinus.2379.nuc comp13899_c0_seq1_m.33509
Mannua_Ricinus.238.nuc comp10459_c0_seq1_m.22563
Mannua_Ricinus.2380.nuc comp138_c0_seq1_m.29
Mannua_Ricinus.2381.nuc comp13900_c0_seq1_m.30231
Mannua_Ricinus.2382.nuc comp13903_c0_seq1_m.19644
Mannua_Ricinus.2383.nuc comp13903_c0_seq2_m.19646
Mannua_Ricinus.2384.nuc comp13904_c0_seq1_m.7193
Mannua_Ricinus.2385.nuc comp13905_c0_seq1_m.7194
Mannua_Ricinus.2386.nuc comp13906_c0_seq1_m.15355
Mannua_Ricinus.2387.nuc comp13907_c0_seq1_m.7196
Mannua_Ricinus.2388.nuc comp13908_c0_seq1_m.7198
Mannua_Ricinus.2389.nuc comp13912_c0_seq1_m.7200
Mannua_Ricinus.239.nuc comp10460_c0_seq1_m.4790
Mannua_Ricinus.2390.nuc comp13913_c0_seq1_m.34756
Mannua_Ricinus.2391.nuc comp13915_c0_seq1_m.7203
Mannua_Ricinus.2392.nuc comp13916_c0_seq1_m.7204
Mannua_Ricinus.2393.nuc comp13917_c0_seq1_m.7205
Mannua_Ricinus.2394.nuc comp13918_c0_seq1_m.19403
Mannua_Ricinus.2395.nuc comp13918_c1_seq1_m.19404
Mannua_Ricinus.2396.nuc comp13923_c0_seq2_m.25432
Mannua_Ricinus.2397.nuc comp13924_c0_seq1_m.38493
Mannua_Ricinus.2398.nuc comp13926_c0_seq2_m.24912
Mannua_Ricinus.2399.nuc comp13927_c0_seq1_m.7210
Mannua_Ricinus.24.nuc comp10046_c0_seq1_m.21064
Mannua_Ricinus.240.nuc comp10464_c0_seq1_m.4794
Mannua_Ricinus.2400.nuc comp13928_c0_seq1_m.7212
Mannua_Ricinus.2401.nuc comp13929_c0_seq1_m.20883
Mannua_Ricinus.2402.nuc comp13930_c0_seq1_m.7214
Mannua_Ricinus.2403.nuc comp13931_c0_seq1_m.7217
Mannua_Ricinus.2404.nuc comp13933_c0_seq1_m.7220
Mannua_Ricinus.2405.nuc comp13935_c0_seq3_m.22594
Mannua_Ricinus.2406.nuc comp13936_c0_seq1_m.7221
Mannua_Ricinus.2407.nuc comp13937_c1_seq2_m.30702
Mannua_Ricinus.2408.nuc comp13938_c0_seq1_m.28935
Mannua_Ricinus.2409.nuc comp13939_c0_seq1_m.7222
Mannua_Ricinus.241.nuc comp10471_c0_seq1_m.34418
Mannua_Ricinus.2410.nuc comp13940_c0_seq1_m.7224
Mannua_Ricinus.2411.nuc comp13941_c0_seq1_m.18145
Mannua_Ricinus.2412.nuc comp13942_c1_seq4_m.28317
Mannua_Ricinus.2413.nuc comp13945_c0_seq1_m.7225
Mannua_Ricinus.2414.nuc comp13946_c0_seq1_m.7226
Mannua_Ricinus.2415.nuc comp13947_c0_seq1_m.17125
Mannua_Ricinus.2416.nuc comp13949_c0_seq1_m.7227
Mannua_Ricinus.2417.nuc comp13950_c0_seq1_m.7228
Mannua_Ricinus.2418.nuc comp13952_c0_seq2_m.30304
Mannua_Ricinus.2419.nuc comp13953_c0_seq1_m.34697
Mannua_Ricinus.242.nuc comp10474_c0_seq1_m.4801
Mannua_Ricinus.2420.nuc comp13955_c0_seq1_m.23894
Mannua_Ricinus.2421.nuc comp13955_c0_seq3_m.23898
Mannua_Ricinus.2422.nuc comp13956_c1_seq1_m.18141
Mannua_Ricinus.2423.nuc comp13957_c0_seq1_m.7230
Mannua_Ricinus.2424.nuc comp13958_c0_seq1_m.25982
Mannua_Ricinus.2425.nuc comp13962_c0_seq1_m.7235
Mannua_Ricinus.2426.nuc comp13963_c0_seq3_m.32679
Mannua_Ricinus.2427.nuc comp13964_c0_seq1_m.30748
Mannua_Ricinus.2428.nuc comp13965_c0_seq1_m.7236
Mannua_Ricinus.2429.nuc comp13966_c0_seq2_m.36662
Mannua_Ricinus.243.nuc comp10478_c0_seq1_m.23433
Mannua_Ricinus.2430.nuc comp13967_c0_seq1_m.7237
Mannua_Ricinus.2431.nuc comp13968_c0_seq2_m.26764
Mannua_Ricinus.2432.nuc comp13969_c0_seq1_m.7238
Mannua_Ricinus.2433.nuc comp13970_c0_seq1_m.26167
Mannua_Ricinus.2434.nuc comp13972_c0_seq1_m.7243
Mannua_Ricinus.2435.nuc comp13974_c0_seq1_m.7244
Mannua_Ricinus.2436.nuc comp13976_c0_seq1_m.7245
Mannua_Ricinus.2437.nuc comp13980_c0_seq2_m.30992
Mannua_Ricinus.2438.nuc comp13981_c0_seq1_m.32101
Mannua_Ricinus.2439.nuc comp13985_c0_seq1_m.7251
Mannua_Ricinus.244.nuc comp10479_c0_seq1_m.4807
Mannua_Ricinus.2440.nuc comp13986_c0_seq1_m.7252
Mannua_Ricinus.2441.nuc comp13987_c0_seq1_m.7253
Mannua_Ricinus.2442.nuc comp13990_c0_seq1_m.34901
Mannua_Ricinus.2443.nuc comp13991_c0_seq1_m.7256
Mannua_Ricinus.2444.nuc comp13993_c0_seq1_m.7257
Mannua_Ricinus.2445.nuc comp13994_c0_seq1_m.7258
Mannua_Ricinus.2446.nuc comp13997_c1_seq1_m.35749
Mannua_Ricinus.2447.nuc comp13999_c0_seq1_m.7265
Mannua_Ricinus.2448.nuc comp14001_c0_seq1_m.7266
Mannua_Ricinus.2449.nuc comp14002_c0_seq1_m.7269
Mannua_Ricinus.245.nuc comp10480_c0_seq1_m.4808
Mannua_Ricinus.2450.nuc comp14005_c0_seq4_m.35142
Mannua_Ricinus.2451.nuc comp14008_c0_seq1_m.17322
Mannua_Ricinus.2452.nuc comp14009_c0_seq1_m.31477
Mannua_Ricinus.2453.nuc comp14010_c0_seq1_m.20164
Mannua_Ricinus.2454.nuc comp14010_c0_seq1_m.20165
Mannua_Ricinus.2455.nuc comp14011_c0_seq1_m.7270
Mannua_Ricinus.2456.nuc comp14013_c0_seq1_m.7272
Mannua_Ricinus.2457.nuc comp14014_c0_seq1_m.7273
Mannua_Ricinus.2458.nuc comp14015_c0_seq1_m.7274
Mannua_Ricinus.2459.nuc comp14016_c0_seq1_m.7275
Mannua_Ricinus.246.nuc comp10481_c0_seq1_m.20568
Mannua_Ricinus.2460.nuc comp14018_c0_seq1_m.7277
Mannua_Ricinus.2461.nuc comp14019_c0_seq1_m.7280
Mannua_Ricinus.2462.nuc comp14020_c0_seq1_m.26648
Mannua_Ricinus.2463.nuc comp14022_c0_seq1_m.7281
Mannua_Ricinus.2464.nuc comp14023_c0_seq1_m.7282
Mannua_Ricinus.2465.nuc comp14024_c0_seq1_m.22647
Mannua_Ricinus.2466.nuc comp14027_c0_seq2_m.35133
Mannua_Ricinus.2467.nuc comp14030_c0_seq1_m.7286
Mannua_Ricinus.2468.nuc comp14033_c0_seq1_m.38917
Mannua_Ricinus.2469.nuc comp14035_c0_seq1_m.31609
Mannua_Ricinus.247.nuc comp10482_c0_seq1_m.4810
Mannua_Ricinus.2470.nuc comp14036_c0_seq1_m.7289
Mannua_Ricinus.2471.nuc comp14037_c0_seq1_m.7290
Mannua_Ricinus.2472.nuc comp14041_c0_seq1_m.7293
Mannua_Ricinus.2473.nuc comp14043_c1_seq1_m.27202
Mannua_Ricinus.2474.nuc comp14048_c0_seq1_m.7295
Mannua_Ricinus.2475.nuc comp14049_c0_seq1_m.29149
Mannua_Ricinus.2476.nuc comp14050_c0_seq1_m.7298
Mannua_Ricinus.2477.nuc comp14052_c0_seq1_m.7299
Mannua_Ricinus.2478.nuc comp14054_c0_seq1_m.7300
Mannua_Ricinus.2479.nuc comp14055_c0_seq1_m.7301
Mannua_Ricinus.248.nuc comp10483_c0_seq1_m.4811
Mannua_Ricinus.2480.nuc comp14056_c0_seq1_m.7302
Mannua_Ricinus.2481.nuc comp14057_c0_seq1_m.7303
Mannua_Ricinus.2482.nuc comp14059_c0_seq3_m.32365
Mannua_Ricinus.2483.nuc comp14062_c0_seq1_m.7306
Mannua_Ricinus.2484.nuc comp14064_c0_seq1_m.7310
Mannua_Ricinus.2485.nuc comp14065_c0_seq1_m.7312
Mannua_Ricinus.2486.nuc comp14067_c0_seq2_m.34872
Mannua_Ricinus.2487.nuc comp14070_c0_seq1_m.29898
Mannua_Ricinus.2488.nuc comp14073_c0_seq1_m.7318
Mannua_Ricinus.2489.nuc comp14074_c0_seq3_m.17044
Mannua_Ricinus.249.nuc comp10487_c0_seq2_m.32470
Mannua_Ricinus.2490.nuc comp14075_c0_seq1_m.20921
Mannua_Ricinus.2491.nuc comp14076_c0_seq1_m.7319
Mannua_Ricinus.2492.nuc comp14078_c0_seq1_m.7320
Mannua_Ricinus.2493.nuc comp14079_c0_seq1_m.7322
Mannua_Ricinus.2494.nuc comp14080_c0_seq1_m.38085
Mannua_Ricinus.2495.nuc comp14081_c0_seq2_m.21394
Mannua_Ricinus.2496.nuc comp14082_c0_seq1_m.7325
Mannua_Ricinus.2497.nuc comp14083_c0_seq1_m.7326
Mannua_Ricinus.2498.nuc comp14085_c0_seq1_m.7327
Mannua_Ricinus.2499.nuc comp14086_c1_seq1_m.35389
Mannua_Ricinus.25.nuc comp10047_c0_seq1_m.4525
Mannua_Ricinus.250.nuc comp10492_c0_seq1_m.4823
Mannua_Ricinus.2500.nuc comp14087_c0_seq1_m.7329
Mannua_Ricinus.2501.nuc comp14088_c0_seq1_m.7330
Mannua_Ricinus.2502.nuc comp14089_c0_seq1_m.18498
Mannua_Ricinus.2503.nuc comp14089_c0_seq1_m.18499
Mannua_Ricinus.2504.nuc comp14090_c0_seq1_m.7334
Mannua_Ricinus.2505.nuc comp14091_c0_seq1_m.23986
Mannua_Ricinus.2506.nuc comp14091_c0_seq1_m.23992
Mannua_Ricinus.2507.nuc comp14092_c0_seq1_m.7335
Mannua_Ricinus.2508.nuc comp14095_c0_seq1_m.7337
Mannua_Ricinus.2509.nuc comp14096_c0_seq1_m.7338
Mannua_Ricinus.251.nuc comp10493_c0_seq2_m.15380
Mannua_Ricinus.2510.nuc comp14097_c0_seq1_m.7340
Mannua_Ricinus.2511.nuc comp14098_c0_seq1_m.7341
Mannua_Ricinus.2512.nuc comp14099_c0_seq1_m.7344
Mannua_Ricinus.2513.nuc comp140_c0_seq1_m.32
Mannua_Ricinus.2514.nuc comp14101_c0_seq1_m.17461
Mannua_Ricinus.2515.nuc comp141020_c0_seq1_m.13831
Mannua_Ricinus.2516.nuc comp14102_c0_seq1_m.7345
Mannua_Ricinus.2517.nuc comp14106_c0_seq1_m.7349
Mannua_Ricinus.2518.nuc comp14108_c0_seq1_m.7352
Mannua_Ricinus.2519.nuc comp141097_c0_seq1_m.13834
Mannua_Ricinus.252.nuc comp10495_c0_seq1_m.30244
Mannua_Ricinus.2520.nuc comp14112_c0_seq1_m.26514
Mannua_Ricinus.2521.nuc comp14113_c0_seq1_m.23148
Mannua_Ricinus.2522.nuc comp14115_c0_seq1_m.7358
Mannua_Ricinus.2523.nuc comp14118_c0_seq1_m.7361
Mannua_Ricinus.2524.nuc comp14120_c0_seq1_m.35106
Mannua_Ricinus.2525.nuc comp14122_c0_seq1_m.7363
Mannua_Ricinus.2526.nuc comp14123_c0_seq1_m.7364
Mannua_Ricinus.2527.nuc comp14124_c0_seq1_m.7365
Mannua_Ricinus.2528.nuc comp14125_c0_seq1_m.7367
Mannua_Ricinus.2529.nuc comp14126_c0_seq1_m.7368
Mannua_Ricinus.253.nuc comp10496_c0_seq1_m.4824
Mannua_Ricinus.2530.nuc comp14127_c0_seq1_m.7370
Mannua_Ricinus.2531.nuc comp14128_c0_seq1_m.7371
Mannua_Ricinus.2532.nuc comp14130_c0_seq1_m.19697
Mannua_Ricinus.2533.nuc comp14131_c0_seq1_m.7375
Mannua_Ricinus.2534.nuc comp14132_c0_seq1_m.7376
Mannua_Ricinus.2535.nuc comp14134_c0_seq3_m.19480
Mannua_Ricinus.2536.nuc comp14135_c0_seq1_m.7377
Mannua_Ricinus.2537.nuc comp14137_c0_seq1_m.7379
Mannua_Ricinus.2538.nuc comp14138_c0_seq1_m.7380
Mannua_Ricinus.2539.nuc comp14144_c0_seq1_m.30045
Mannua_Ricinus.254.nuc comp10497_c0_seq1_m.18978
Mannua_Ricinus.2540.nuc comp14146_c0_seq2_m.21654
Mannua_Ricinus.2541.nuc comp14148_c0_seq1_m.7392
Mannua_Ricinus.2542.nuc comp14149_c0_seq1_m.7395
Mannua_Ricinus.2543.nuc comp14150_c0_seq1_m.21385
Mannua_Ricinus.2544.nuc comp14150_c1_seq1_m.21386
Mannua_Ricinus.2545.nuc comp14152_c0_seq1_m.7397
Mannua_Ricinus.2546.nuc comp14153_c0_seq1_m.7398
Mannua_Ricinus.2547.nuc comp14154_c0_seq1_m.36454
Mannua_Ricinus.2548.nuc comp14154_c0_seq1_m.36455
Mannua_Ricinus.2549.nuc comp14155_c0_seq1_m.7399
Mannua_Ricinus.255.nuc comp10498_c0_seq1_m.4825
Mannua_Ricinus.2550.nuc comp141568_c0_seq1_m.13863
Mannua_Ricinus.2551.nuc comp14156_c0_seq1_m.26979
Mannua_Ricinus.2552.nuc comp14157_c0_seq1_m.19834
Mannua_Ricinus.2553.nuc comp14157_c0_seq2_m.19835
Mannua_Ricinus.2554.nuc comp14159_c0_seq1_m.7402
Mannua_Ricinus.2555.nuc comp14162_c0_seq1_m.7405
Mannua_Ricinus.2556.nuc comp14163_c0_seq1_m.7406
Mannua_Ricinus.2557.nuc comp14164_c0_seq1_m.37450
Mannua_Ricinus.2558.nuc comp14167_c0_seq1_m.7408
Mannua_Ricinus.2559.nuc comp14168_c0_seq1_m.7409
Mannua_Ricinus.256.nuc comp10500_c0_seq1_m.4826
Mannua_Ricinus.2560.nuc comp14169_c0_seq1_m.7412
Mannua_Ricinus.2561.nuc comp14170_c0_seq1_m.7414
Mannua_Ricinus.2562.nuc comp14171_c0_seq1_m.7415
Mannua_Ricinus.2563.nuc comp14172_c0_seq1_m.7417
Mannua_Ricinus.2564.nuc comp14173_c0_seq1_m.7418
Mannua_Ricinus.2565.nuc comp14174_c0_seq1_m.7420
Mannua_Ricinus.2566.nuc comp14175_c0_seq1_m.7421
Mannua_Ricinus.2567.nuc comp14176_c0_seq1_m.7423
Mannua_Ricinus.2568.nuc comp14180_c0_seq1_m.27024
Mannua_Ricinus.2569.nuc comp14182_c0_seq1_m.7427
Mannua_Ricinus.257.nuc comp10501_c0_seq1_m.4827
Mannua_Ricinus.2570.nuc comp14184_c0_seq1_m.31204
Mannua_Ricinus.2571.nuc comp14185_c0_seq1_m.7428
Mannua_Ricinus.2572.nuc comp14187_c0_seq1_m.7433
Mannua_Ricinus.2573.nuc comp14188_c0_seq1_m.7434
Mannua_Ricinus.2574.nuc comp14189_c0_seq1_m.7436
Mannua_Ricinus.2575.nuc comp14190_c0_seq1_m.31292
Mannua_Ricinus.2576.nuc comp14191_c0_seq1_m.19983
Mannua_Ricinus.2577.nuc comp14192_c0_seq5_m.32792
Mannua_Ricinus.2578.nuc comp14194_c0_seq1_m.27307
Mannua_Ricinus.2579.nuc comp14196_c1_seq1_m.7440
Mannua_Ricinus.258.nuc comp10502_c0_seq1_m.4828
Mannua_Ricinus.2580.nuc comp14197_c0_seq1_m.7441
Mannua_Ricinus.2581.nuc comp14200_c0_seq1_m.7442
Mannua_Ricinus.2582.nuc comp14201_c0_seq1_m.7443
Mannua_Ricinus.2583.nuc comp14203_c0_seq1_m.7445
Mannua_Ricinus.2584.nuc comp14205_c0_seq1_m.7448
Mannua_Ricinus.2585.nuc comp142060_c0_seq1_m.13896
Mannua_Ricinus.2586.nuc comp14206_c0_seq1_m.7450
Mannua_Ricinus.2587.nuc comp14207_c0_seq1_m.7451
Mannua_Ricinus.2588.nuc comp14208_c0_seq1_m.18771
Mannua_Ricinus.2589.nuc comp14208_c0_seq1_m.18772
Mannua_Ricinus.259.nuc comp10505_c0_seq1_m.20471
Mannua_Ricinus.2590.nuc comp14210_c1_seq7_m.29875
Mannua_Ricinus.2591.nuc comp14213_c0_seq1_m.16012
Mannua_Ricinus.2592.nuc comp14214_c0_seq1_m.36351
Mannua_Ricinus.2593.nuc comp14214_c0_seq1_m.36353
Mannua_Ricinus.2594.nuc comp14214_c0_seq2_m.36347
Mannua_Ricinus.2595.nuc comp14215_c0_seq1_m.17703
Mannua_Ricinus.2596.nuc comp14216_c0_seq1_m.7453
Mannua_Ricinus.2597.nuc comp14218_c0_seq1_m.7455
Mannua_Ricinus.2598.nuc comp14219_c0_seq1_m.7457
Mannua_Ricinus.2599.nuc comp14220_c0_seq1_m.24855
Mannua_Ricinus.26.nuc comp10048_c0_seq1_m.4526
Mannua_Ricinus.260.nuc comp10507_c0_seq1_m.4830
Mannua_Ricinus.2600.nuc comp14223_c1_seq4_m.29473
Mannua_Ricinus.2601.nuc comp14224_c0_seq1_m.27350
Mannua_Ricinus.2602.nuc comp14225_c0_seq1_m.7461
Mannua_Ricinus.2603.nuc comp14226_c0_seq1_m.38658
Mannua_Ricinus.2604.nuc comp14227_c0_seq1_m.30445
Mannua_Ricinus.2605.nuc comp14228_c0_seq1_m.29631
Mannua_Ricinus.2606.nuc comp14229_c0_seq1_m.7462
Mannua_Ricinus.2607.nuc comp14231_c0_seq1_m.7463
Mannua_Ricinus.2608.nuc comp14232_c0_seq1_m.30649
Mannua_Ricinus.2609.nuc comp14232_c1_seq1_m.30651
Mannua_Ricinus.261.nuc comp10508_c0_seq1_m.18745
Mannua_Ricinus.2610.nuc comp14235_c0_seq1_m.25833
Mannua_Ricinus.2611.nuc comp14236_c0_seq1_m.34405
Mannua_Ricinus.2612.nuc comp14238_c0_seq1_m.7469
Mannua_Ricinus.2613.nuc comp14239_c0_seq1_m.27909
Mannua_Ricinus.2614.nuc comp14240_c0_seq1_m.7470
Mannua_Ricinus.2615.nuc comp14241_c0_seq1_m.25777
Mannua_Ricinus.2616.nuc comp14243_c0_seq1_m.7471
Mannua_Ricinus.2617.nuc comp14244_c0_seq1_m.23263
