an_ric	gene
Mannua_Ricinus.1238.nuc comp12150_c0_seq2_m.18318
Mannua_Ricinus.1239.nuc comp12151_c0_seq1_m.5962
Mannua_Ricinus.124.nuc comp102500_c0_seq1_m.12900
Mannua_Ricinus.1240.nuc comp12152_c0_seq1_m.5964
Mannua_Ricinus.1241.nuc comp12153_c0_seq1_m.18905
Mannua_Ricinus.1242.nuc comp12155_c0_seq1_m.5967
Mannua_Ricinus.1243.nuc comp12156_c0_seq1_m.5968
Mannua_Ricinus.1244.nuc comp12157_c1_seq1_m.19764
Mannua_Ricinus.1245.nuc comp12162_c0_seq1_m.5973
Mannua_Ricinus.1246.nuc comp12163_c0_seq1_m.5974
Mannua_Ricinus.1247.nuc comp12164_c0_seq1_m.5977
Mannua_Ricinus.1248.nuc comp12165_c0_seq1_m.30679
Mannua_Ricinus.1249.nuc comp12166_c0_seq1_m.37405
Mannua_Ricinus.125.nuc comp10250_c0_seq1_m.4652
Mannua_Ricinus.1250.nuc comp12167_c0_seq1_m.5978
Mannua_Ricinus.1251.nuc comp12169_c0_seq2_m.27050
Mannua_Ricinus.1252.nuc comp12170_c0_seq6_m.31195
Mannua_Ricinus.1253.nuc comp12171_c0_seq1_m.22221
Mannua_Ricinus.1254.nuc comp12172_c0_seq1_m.29463
Mannua_Ricinus.1255.nuc comp12175_c0_seq1_m.5981
Mannua_Ricinus.1256.nuc comp12176_c0_seq3_m.19105
Mannua_Ricinus.1257.nuc comp12178_c0_seq1_m.36184
Mannua_Ricinus.1258.nuc comp12180_c0_seq1_m.5982
Mannua_Ricinus.1259.nuc comp12181_c0_seq2_m.17952
Mannua_Ricinus.126.nuc comp102513_c0_seq1_m.12901
Mannua_Ricinus.1260.nuc comp12184_c0_seq2_m.16935
Mannua_Ricinus.1261.nuc comp12189_c0_seq1_m.5987
Mannua_Ricinus.1262.nuc comp12190_c0_seq1_m.5989
Mannua_Ricinus.1263.nuc comp12191_c1_seq1_m.29484
Mannua_Ricinus.1264.nuc comp12192_c0_seq1_m.5990
Mannua_Ricinus.1265.nuc comp121935_c0_seq1_m.13403
Mannua_Ricinus.1266.nuc comp12194_c0_seq1_m.30364
Mannua_Ricinus.1267.nuc comp12195_c0_seq1_m.5992
Mannua_Ricinus.1268.nuc comp12197_c0_seq1_m.5993
Mannua_Ricinus.1269.nuc comp12200_c0_seq1_m.5994
Mannua_Ricinus.127.nuc comp10251_c1_seq1_m.29462
Mannua_Ricinus.1270.nuc comp12202_c0_seq1_m.5996
Mannua_Ricinus.1271.nuc comp12204_c0_seq2_m.34024
Mannua_Ricinus.1272.nuc comp12205_c0_seq1_m.5998
Mannua_Ricinus.1273.nuc comp12207_c0_seq1_m.22201
Mannua_Ricinus.1274.nuc comp12208_c0_seq2_m.22825
Mannua_Ricinus.1275.nuc comp12209_c0_seq1_m.6000
Mannua_Ricinus.1276.nuc comp12211_c0_seq1_m.6001
Mannua_Ricinus.1277.nuc comp12213_c0_seq1_m.6003
Mannua_Ricinus.1278.nuc comp12214_c0_seq1_m.34241
Mannua_Ricinus.1279.nuc comp12216_c0_seq1_m.6006
Mannua_Ricinus.128.nuc comp10254_c1_seq1_m.27370
Mannua_Ricinus.1280.nuc comp12217_c0_seq1_m.32437
Mannua_Ricinus.1281.nuc comp12218_c0_seq1_m.6008
Mannua_Ricinus.1282.nuc comp12220_c0_seq1_m.6009
Mannua_Ricinus.1283.nuc comp12221_c0_seq4_m.35023
Mannua_Ricinus.1284.nuc comp12222_c0_seq1_m.6011
Mannua_Ricinus.1285.nuc comp12223_c0_seq1_m.18754
Mannua_Ricinus.1286.nuc comp12224_c0_seq2_m.37094
Mannua_Ricinus.1287.nuc comp12225_c0_seq1_m.6012
Mannua_Ricinus.1288.nuc comp12228_c0_seq1_m.26646
Mannua_Ricinus.1289.nuc comp12229_c0_seq1_m.33731
Mannua_Ricinus.129.nuc comp10256_c0_seq1_m.4653
Mannua_Ricinus.1290.nuc comp12231_c0_seq2_m.36278
Mannua_Ricinus.1291.nuc comp12233_c0_seq1_m.6017
Mannua_Ricinus.1292.nuc comp12234_c0_seq1_m.6018
Mannua_Ricinus.1293.nuc comp12235_c0_seq1_m.34019
Mannua_Ricinus.1294.nuc comp12238_c0_seq1_m.18898
Mannua_Ricinus.1295.nuc comp12239_c0_seq1_m.6019
Mannua_Ricinus.1296.nuc comp12240_c0_seq1_m.24278
Mannua_Ricinus.1297.nuc comp12240_c0_seq2_m.24279
Mannua_Ricinus.1298.nuc comp12241_c0_seq1_m.37129
Mannua_Ricinus.1299.nuc comp12243_c0_seq1_m.6020
Mannua_Ricinus.13.nuc comp10029_c0_seq1_m.4516
Mannua_Ricinus.130.nuc comp10257_c0_seq1_m.34426
Mannua_Ricinus.1300.nuc comp12244_c0_seq1_m.6021
Mannua_Ricinus.1301.nuc comp12247_c0_seq1_m.18088
Mannua_Ricinus.1302.nuc comp12249_c0_seq1_m.6022
Mannua_Ricinus.1303.nuc comp12250_c0_seq1_m.6024
Mannua_Ricinus.1304.nuc comp12251_c0_seq1_m.6025
Mannua_Ricinus.1305.nuc comp12252_c0_seq1_m.6026
Mannua_Ricinus.1306.nuc comp12254_c0_seq1_m.6027
Mannua_Ricinus.1307.nuc comp12255_c0_seq1_m.6028
Mannua_Ricinus.1308.nuc comp12256_c0_seq1_m.6029
Mannua_Ricinus.1309.nuc comp12257_c0_seq1_m.6030
Mannua_Ricinus.131.nuc comp10258_c0_seq1_m.4654
Mannua_Ricinus.1310.nuc comp12258_c0_seq1_m.28766
Mannua_Ricinus.1311.nuc comp12260_c0_seq1_m.6034
Mannua_Ricinus.1312.nuc comp12261_c0_seq1_m.33747
Mannua_Ricinus.1313.nuc comp12262_c0_seq1_m.16701
Mannua_Ricinus.1314.nuc comp12264_c0_seq1_m.6035
Mannua_Ricinus.1315.nuc comp12265_c0_seq1_m.16020
Mannua_Ricinus.1316.nuc comp12265_c0_seq2_m.16021
Mannua_Ricinus.1317.nuc comp12267_c0_seq1_m.26493
Mannua_Ricinus.1318.nuc comp12268_c0_seq1_m.34195
Mannua_Ricinus.1319.nuc comp12270_c0_seq1_m.6038
Mannua_Ricinus.132.nuc comp10260_c0_seq1_m.4657
Mannua_Ricinus.1320.nuc comp12271_c0_seq1_m.6039
Mannua_Ricinus.1321.nuc comp12275_c0_seq1_m.29897
Mannua_Ricinus.1322.nuc comp12276_c0_seq1_m.37230
Mannua_Ricinus.1323.nuc comp12277_c0_seq1_m.32667
Mannua_Ricinus.1324.nuc comp12281_c0_seq1_m.6046
Mannua_Ricinus.1325.nuc comp12285_c0_seq1_m.6048
Mannua_Ricinus.1326.nuc comp12286_c0_seq1_m.6054
Mannua_Ricinus.1327.nuc comp12287_c0_seq1_m.23511
Mannua_Ricinus.1328.nuc comp12295_c0_seq1_m.6062
Mannua_Ricinus.1329.nuc comp12297_c0_seq1_m.6063
Mannua_Ricinus.133.nuc comp10264_c0_seq1_m.4662
Mannua_Ricinus.1330.nuc comp12299_c0_seq1_m.6065
Mannua_Ricinus.1331.nuc comp12300_c0_seq1_m.6066
Mannua_Ricinus.1332.nuc comp12301_c0_seq2_m.20785
Mannua_Ricinus.1333.nuc comp12302_c0_seq1_m.29663
Mannua_Ricinus.1334.nuc comp12303_c0_seq1_m.16540
Mannua_Ricinus.1335.nuc comp12305_c1_seq2_m.29526
Mannua_Ricinus.1336.nuc comp12306_c0_seq1_m.6069
Mannua_Ricinus.1337.nuc comp12307_c0_seq1_m.6070
Mannua_Ricinus.1338.nuc comp12308_c0_seq1_m.6071
Mannua_Ricinus.1339.nuc comp12312_c0_seq1_m.6074
Mannua_Ricinus.134.nuc comp10268_c0_seq2_m.23602
Mannua_Ricinus.1340.nuc comp12313_c0_seq1_m.6076
Mannua_Ricinus.1341.nuc comp12318_c0_seq1_m.6080
Mannua_Ricinus.1342.nuc comp12319_c0_seq1_m.6081
Mannua_Ricinus.1343.nuc comp12321_c0_seq1_m.32224
Mannua_Ricinus.1344.nuc comp12322_c0_seq1_m.6082
Mannua_Ricinus.1345.nuc comp12324_c0_seq1_m.6083
Mannua_Ricinus.1346.nuc comp12326_c0_seq1_m.6084
Mannua_Ricinus.1347.nuc comp12327_c0_seq1_m.15560
Mannua_Ricinus.1348.nuc comp12328_c0_seq1_m.6085
Mannua_Ricinus.1349.nuc comp12329_c0_seq1_m.18240
Mannua_Ricinus.135.nuc comp10269_c0_seq1_m.4669
Mannua_Ricinus.1350.nuc comp1232_c0_seq1_m.322
Mannua_Ricinus.1351.nuc comp12332_c0_seq1_m.31340
Mannua_Ricinus.1352.nuc comp12336_c0_seq1_m.24911
Mannua_Ricinus.1353.nuc comp12337_c0_seq1_m.6091
Mannua_Ricinus.1354.nuc comp12338_c0_seq1_m.6092
Mannua_Ricinus.1355.nuc comp12339_c0_seq1_m.17894
Mannua_Ricinus.1356.nuc comp12340_c0_seq1_m.37584
Mannua_Ricinus.1357.nuc comp12343_c0_seq1_m.6095
Mannua_Ricinus.1358.nuc comp12344_c0_seq1_m.6096
Mannua_Ricinus.1359.nuc comp12345_c0_seq2_m.19196
Mannua_Ricinus.136.nuc comp10270_c0_seq1_m.4670
Mannua_Ricinus.1360.nuc comp12347_c2_seq1_m.38145
Mannua_Ricinus.1361.nuc comp12347_c4_seq2_m.38151
Mannua_Ricinus.1362.nuc comp12348_c0_seq1_m.17799
Mannua_Ricinus.1363.nuc comp12349_c0_seq1_m.6098
