lg	cm	id	sd
1 7.48 comp13939_c0_seq1_m.7223 Au
1 7.48 comp17559_c0_seq1_m.9634 Au
1 7.48 comp10517_c0_seq1_m.4834 Au
1 7.48 comp17982_c0_seq3_m.25937 Au
1 7.48 comp15791_c0_seq1_m.8529 Au
1 7.48 comp20335_c0_seq1_m.10635 Au
1 7.48 comp12934_c0_seq1_m.6545 Au
1 7.48 comp14607_c0_seq1_m.7712 Au
1 7.48 comp15948_c0_seq2_m.19415 Au
1 7.48 comp6382_c0_seq1_m.2296 Au
1 7.48 comp17423_c1_seq1_m.32999 Au
1 7.48 comp15288_c0_seq1_m.8193 Au
1 7.48 comp13750_c0_seq1_m.7097 Au
1 7.48 comp17093_c0_seq1_m.9351 Au
1 7.48 comp10212_c0_seq1_m.4631 Au
1 7.48 comp16758_c2_seq1_m.36070 Au
1 7.48 comp9168_c0_seq1_m.3952 Au
1 7.48 comp18713_c0_seq2_m.36496 Au
1 7.48 comp10093_c0_seq1_m.4555 Au
1 7.48 comp7444_c0_seq2_m.26246 Au
1 7.48 comp6703_c0_seq1_m.2473 Au
1 7.48 comp10507_c0_seq1_m.4830 Au
1 7.48 comp11568_c0_seq1_m.5532 Au
1 7.48 comp10976_c0_seq1_m.5159 Au
1 7.48 comp18115_c0_seq1_m.9953 Au
1 7.48 comp18578_c0_seq1_m.25945 Au
1 7.48 comp13939_c0_seq1_m.7222 Au
1 7.48 comp11264_c0_seq1_m.18303 Au
1 7.48 comp7910_c0_seq1_m.3209 Au
1 7.48 comp8423_c0_seq1_m.3485 Au
1 7.48 comp15368_c0_seq1_m.8245 Au
1 7.48 comp13522_c0_seq2_m.17685 Au
1 7.48 comp17559_c0_seq1_m.9635 Au
1 7.48 comp13640_c0_seq1_m.7022 Au
1 7.48 comp12381_c0_seq1_m.6129 Au
1 7.48 comp14102_c0_seq1_m.7345 Au
1 7.48 comp11241_c0_seq1_m.23971 Au
1 7.48 comp14102_c0_seq1_m.7346 Au
1 7.48 comp15036_c0_seq2_m.21341 Au
1 7.48 comp11523_c0_seq1_m.5502 Au
1 7.48 comp13255_c0_seq1_m.6771 Au
1 7.48 comp18256_c0_seq1_m.18072 Au
1 7.48 comp10378_c0_seq1_m.4736 Au
1 7.48 comp115655_c0_seq1_m.13313 Au
1 7.48 comp18293_c0_seq1_m.32139 Au
1 7.48 comp11849_c1_seq1_m.16055 Au
1 7.48 comp16084_c0_seq1_m.25642 Au
1 7.48 comp7054_c0_seq1_m.2705 Au
1 7.48 comp12818_c0_seq1_m.19584 Au
1 7.48 comp16020_c0_seq1_m.21662 Au
1 7.48 comp17837_c0_seq1_m.16891 Au
1 7.48 comp18293_c1_seq1_m.32141 Au
1 7.48 comp13256_c0_seq1_m.6772 Au
1 7.48 comp17093_c0_seq1_m.9350 Au
1 7.48 comp17110_c0_seq1_m.35859 Au
